msrp,invoice,disp,cyl,hp,weight,wheelbase,length,width,sports,suv,wagon,minivan,pickup,AWD,RWD,coupe,sedan,mpgclass,cmpg,hmpg
22388,20701,1.8,4,142,2387,89,156,66,1,0,0,0,0,0,1,1,0,2,23,28
35545,32244,3.8,6,205,3778,114,207,75,0,0,0,0,0,0,0,0,1,1,20,29
39235,36052,4,8,270,3953,106,185,69,0,0,0,0,0,0,0,0,1,1,18,25
45707,41966,3.2,6,215,3770,107,183,69,0,0,0,0,0,0,1,1,0,1,20,26
15500,14525,2,4,148,2696,,,,0,0,0,0,0,0,0,0,1,,,
34845,32902,2.3,5,247,3766,107,180,71,0,0,0,0,0,0,0,0,1,1,20,28
35515,32243,3.2,6,220,5086,112,187,76,0,1,0,0,0,1,0,0,0,0,15,20
14610,13697,2.2,4,140,2617,104,183,69,0,0,0,0,0,0,0,1,0,2,26,37
33112,30763,3.8,6,215,4718,110,190,75,0,1,0,0,0,1,0,0,0,0,15,19
21900,20095,3.4,6,180,3465,111,200,73,0,0,0,0,0,0,0,0,1,2,21,32
65000,59912,4.2,8,335,5194,118,204,75,0,0,0,0,0,0,0,0,1,,,
25995,23969,2.5,6,174,3577,101,175,71,0,1,0,0,0,1,0,0,0,1,18,21
24895,22835,3.8,6,200,3461,109,196,73,0,0,0,0,0,0,0,0,1,1,20,30
11690,10965,1.6,4,103,2370,98,167,66,0,0,0,0,0,0,0,0,1,2,28,34
21055,19638,1.9,4,100,3003,99,172,68,0,0,0,0,0,0,0,0,1,2,38,46
86970,80939,5,8,302,4390,122,203,73,0,0,0,0,0,1,0,0,1,0,16,24
22010,19490,4.6,8,231,4788,126,227,80,0,0,0,0,1,0,1,0,0,0,15,19
36945,33337,3.5,6,265,4451,106,189,77,0,1,0,0,0,1,0,0,0,0,17,23
35940,32512,1.8,4,180,3131,95,159,73,1,0,0,0,0,0,0,1,0,1,20,28
22395,20545,3.8,6,200,3477,111,198,74,0,0,0,0,0,0,0,0,1,1,20,30
19635,18630,3.5,6,192,4112,107,180,73,0,1,0,0,0,0,0,0,0,0,16,19
24695,23217,4.6,8,224,4052,115,212,78,0,0,0,0,0,0,1,0,1,0,17,25
68995,62846,4.2,8,294,3803,119,200,73,0,0,0,0,0,0,1,0,1,1,18,28
16495,14978,3.4,6,190,3925,128,218,75,0,0,0,0,1,0,1,0,0,0,16,20
22450,20595,3.4,6,175,3118,107,186,70,0,0,0,0,0,0,0,1,0,1,20,29
15040,14086,2,4,132,2626,105,174,67,0,0,0,0,0,0,0,0,1,2,29,36
40670,38520,2,4,210,3480,105,182,69,0,0,0,0,0,0,0,1,0,2,21,29
46995,43523,4.6,8,320,4302,116,195,73,0,1,0,0,0,0,0,0,0,0,16,21
17630,16264,3.7,6,210,3714,112,196,72,0,0,0,0,1,0,1,0,0,0,16,22
34560,30468,4.6,8,232,5000,119,206,79,0,1,0,0,0,0,0,0,0,0,15,19
57270,53382,5,8,302,3815,112,190,71,0,0,0,0,0,0,1,0,1,0,16,20
26189,23486,3.5,6,194,3651,108,192,72,0,0,0,0,0,0,0,0,1,0,17,26
19090,17805,2.4,4,150,3173,108,191,71,0,0,0,0,0,0,0,0,1,2,22,30
51535,45193,5.7,8,350,3248,105,180,74,1,0,0,0,0,0,1,1,0,1,18,25
23495,21198,3.3,6,230,4120,119,200,77,0,0,0,1,0,0,0,0,0,1,19,27
25920,23125,3,6,210,3362,107,189,71,0,0,0,0,0,0,0,0,1,2,21,29
20339,18380,2.7,6,170,3217,106,187,72,0,0,0,0,0,0,0,0,1,1,19,27
11560,10896,1.5,4,108,2085,93,163,65,0,0,0,0,0,0,0,1,0,2,33,39
25092,23456,3,6,210,3241,101,177,69,1,0,0,0,0,0,0,1,0,2,21,28
28345,26047,3.8,6,240,3536,109,196,73,0,0,0,0,0,0,0,0,1,1,18,28
52775,46360,5.4,8,300,5969,119,206,80,0,1,0,0,0,1,0,0,0,0,13,18
26395,23954,4.3,6,190,4605,111,190,78,0,0,0,1,0,1,0,0,0,0,14,17
16350,15299,2.2,4,140,2751,103,185,68,0,0,0,0,0,0,0,1,0,2,26,35
35105,33011,2.3,4,220,3470,106,190,71,0,0,0,0,0,0,0,0,1,2,21,29
20130,18973,2.4,4,150,3826,104,174,72,0,1,0,0,0,1,0,0,0,1,20,24
20939,19512,3.3,6,180,3760,104,178,70,0,1,0,0,0,0,0,0,0,0,17,20
19240,18030,2.5,4,175,3039,110,192,70,0,0,0,0,0,0,0,0,1,2,21,26
29380,26875,4.6,8,260,3347,101,183,73,1,0,0,0,0,0,1,1,0,0,17,25
33260,29965,2.2,4,240,2835,95,162,69,1,0,0,0,0,0,1,1,0,1,20,25
36100,31689,5.3,8,295,5678,130,222,80,0,0,0,0,1,1,0,0,0,0,14,18
25700,23883,3.8,6,230,3649,108,191,72,0,0,0,0,0,0,0,0,1,1,18,26
18995,17434,2.2,4,145,3174,106,188,70,0,0,0,0,0,0,0,0,1,2,24,34
26960,24304,3,6,240,3294,105,188,71,0,0,0,0,0,0,0,1,0,2,21,30
19860,17924,2.4,4,160,2994,105,188,71,0,0,0,0,0,0,0,1,0,2,26,34
25935,23520,3.4,6,190,4435,128,230,79,0,0,0,0,1,1,0,0,0,0,14,17
16695,15156,1.8,4,130,2679,102,171,70,0,0,1,0,0,0,0,0,0,2,29,36
42915,39443,4.6,8,302,4834,114,193,76,0,1,0,0,0,0,0,0,0,0,13,18
69995,63756,4.2,8,294,3779,102,187,71,1,0,0,0,0,0,1,1,0,1,18,26
17750,16265,1.7,4,127,2601,103,175,68,0,0,0,0,0,0,0,0,1,2,32,37
14630,13790,1.8,4,124,2697,101,178,68,0,0,0,0,0,0,0,0,1,2,24,32
47955,43841,4.6,8,275,3992,112,201,75,0,0,0,0,0,0,0,0,1,1,18,26
64800,56455,4.7,8,235,5590,112,193,76,0,1,0,0,0,1,0,0,0,0,13,17
31145,28320,3.5,6,255,3306,108,194,70,0,0,0,0,0,0,0,0,1,1,19,26
27930,24915,3.3,6,230,3935,107,185,72,0,1,0,0,0,1,0,0,0,1,18,24
27905,25686,4,6,195,3790,106,181,72,0,1,0,0,0,0,0,0,0,0,16,21
14622,13751,2,4,120,2656,102,181,67,0,0,0,0,0,0,0,0,1,,,
23895,21773,2.5,4,165,3430,104,187,69,0,0,1,0,0,1,0,0,0,2,21,28
19270,17817,2.3,4,160,3042,105,187,70,0,0,0,0,0,0,0,0,1,2,24,32
74995,68306,4.2,8,390,3948,119,200,73,0,0,0,0,0,0,1,0,1,0,17,24
18892,17569,2.4,4,160,3240,103,179,69,0,1,0,0,0,0,0,0,0,2,21,27
13580,12830,1.8,4,124,2686,101,178,68,0,0,0,0,0,0,0,0,1,2,24,32
44240,40075,3,6,220,4013,105,180,70,0,0,0,0,0,1,0,1,0,1,18,25
21055,19638,1.8,4,150,2820,99,161,68,0,0,0,0,0,0,0,1,0,2,24,31
27560,24843,3.5,6,240,4387,106,188,77,0,1,0,0,0,1,0,0,0,0,17,22
31745,29916,2.5,5,208,3903,107,180,71,0,0,0,0,0,1,0,0,1,1,20,27
28790,26120,3.4,6,185,3948,120,201,72,0,0,0,1,0,0,0,0,0,1,19,26
18739,17101,2.7,6,172,3023,100,173,69,1,0,0,0,0,0,0,1,0,1,19,26
32495,29969,3,6,232,3681,115,194,73,0,0,0,0,0,0,1,0,1,1,20,26
31890,28922,4.2,6,275,4945,129,208,75,0,1,0,0,0,0,0,0,0,0,15,19
15389,14207,2,4,138,2698,103,178,68,0,0,0,0,0,0,0,0,1,2,26,34
26545,24085,3.4,6,185,4024,112,187,74,0,1,0,0,0,0,0,0,0,1,19,26
33295,30884,3.5,6,255,3650,113,198,74,0,0,0,0,0,0,0,0,1,1,18,27
22775,20325,3,6,210,3296,107,189,71,0,0,0,0,0,0,0,0,1,2,21,29
42840,38840,2.7,6,250,3836,109,192,71,0,0,0,0,0,1,0,0,1,1,18,25
48040,43556,4.2,8,340,3825,104,179,70,0,0,0,0,0,1,0,0,1,0,14,20
11939,11209,1.6,4,103,2339,96,167,66,0,0,0,0,0,0,0,1,0,2,29,33
81995,74676,4.2,8,390,3865,102,187,71,1,0,0,0,0,0,1,1,0,0,16,23
25700,23794,1.3,,197,3053,106,174,,1,0,0,0,0,0,1,0,1,1,18,25
20220,18821,2.4,4,150,3175,108,191,71,0,0,0,0,0,0,0,0,1,2,21,28
30245,27745,2.5,6,184,3461,107,176,69,0,0,0,0,0,1,0,0,1,1,19,27
76765,67128,3.6,6,315,3119,93,175,70,1,0,0,0,0,0,1,1,0,1,18,26
33480,31187,2.6,6,168,3360,107,178,68,0,0,0,0,0,1,0,0,1,1,19,25
12360,11630,1.8,4,124,2661,101,178,68,0,0,0,0,0,0,0,0,1,2,24,32
60670,56474,5,8,302,4230,112,190,71,0,0,1,0,0,1,0,0,0,0,16,24
40235,36956,4,8,270,4067,106,184,69,0,0,1,0,0,0,0,0,0,1,18,25
49090,44446,4.2,8,340,3936,104,179,70,0,0,1,0,0,1,0,0,0,0,15,21
38830,36162,3.2,6,215,,107,178,68,0,0,0,0,0,1,0,0,1,1,19,27
34480,31388,3,6,220,3627,104,179,70,0,0,0,0,0,1,0,0,1,1,18,25
19490,17849,2,4,160,2782,101,166,67,0,0,0,0,0,0,0,1,0,2,26,30
29282,27250,3.5,6,205,3549,107,194,70,0,0,0,0,0,0,0,0,1,1,18,25
19135,17878,2,4,170,2750,103,168,67,0,0,0,0,0,0,0,1,0,2,21,28
23845,21644,3.4,6,185,3803,112,187,72,0,0,0,1,0,0,0,0,0,1,19,26
54995,50270,4.4,8,325,3814,114,191,73,0,0,0,0,0,0,1,0,1,1,18,26
56595,51815,3.2,6,333,3781,108,177,70,1,0,0,0,0,0,1,1,0,0,16,23
24295,22284,3.8,6,200,3484,111,198,74,0,0,0,0,0,0,0,0,1,1,20,30
26650,24926,5.6,8,305,5287,140,224,79,0,0,0,0,1,1,0,0,0,0,14,18
35995,32997,4.6,8,275,3790,112,203,74,0,0,0,0,0,0,0,0,1,0,17,23
26910,25203,3.5,6,287,3188,104,169,72,1,0,0,0,0,0,1,1,0,1,20,26
12269,12116,2,4,119,2701,102,177,68,0,0,0,0,0,0,0,0,1,2,24,31
36395,33121,4.5,8,315,4309,112,189,76,0,0,1,0,0,1,0,0,0,0,15,19
69195,63190,4.4,8,325,4376,118,198,75,0,0,0,0,0,0,1,0,1,1,18,26
26990,24647,2.4,4,200,3230,105,183,69,0,0,0,0,0,0,0,0,1,2,22,29
37390,33891,1.8,4,225,2921,96,159,73,1,0,0,0,0,1,0,1,0,1,20,28
29440,26966,3.5,6,265,3476,111,194,72,0,0,0,0,0,0,0,0,1,1,20,28
20585,19238,2.2,4,143,3381,107,181,72,0,1,0,0,0,1,0,0,0,2,21,26
20510,18926,1.5,4,110,2890,106,175,68,0,0,0,0,0,0,0,0,1,2,59,51
23495,21551,3.5,6,200,3315,106,188,70,0,0,0,0,0,0,0,0,1,2,23,32
39995,36620,2.5,6,184,3428,114,191,73,0,0,0,0,0,0,1,0,1,1,19,28
35940,32506,1.8,4,170,3638,105,180,70,0,0,0,0,0,0,0,1,0,2,23,30
76870,71540,5,8,292,5423,112,186,71,0,1,0,0,0,1,0,0,0,0,13,14
19479,18253,3.3,6,180,3932,116,203,68,0,0,0,0,1,1,0,0,0,0,17,20
34495,31558,4.6,8,302,4195,115,212,78,0,0,0,0,0,0,1,0,1,0,17,23
31045,27404,3,6,215,3255,105,177,68,0,0,0,0,0,0,1,0,1,1,18,25
21825,20026,3.4,6,180,3340,111,198,73,0,0,0,0,0,0,0,1,0,2,21,32
22180,20351,3.1,6,175,3353,109,195,73,0,0,0,0,0,0,0,0,1,1,20,30
49690,44936,4.2,8,300,4024,109,193,71,0,0,0,0,0,1,0,0,1,0,17,24
20290,18553,2.4,4,161,3119,98,167,68,0,1,0,0,0,1,0,0,0,2,22,27
23290,21580,3.5,6,245,3197,110,192,70,0,0,0,0,0,0,0,0,1,2,21,26
28750,26600,3,6,200,3812,112,188,72,0,0,0,1,0,0,0,0,0,1,18,25
15850,14531,1.7,4,115,2513,103,175,68,0,0,0,0,0,0,0,0,1,2,32,38
35725,31361,4.8,8,285,5042,116,199,79,0,1,0,0,0,0,0,0,0,0,16,19
49995,45815,6,8,316,6400,123,190,81,0,1,0,0,0,1,0,0,0,0,10,12
17735,16369,2.2,4,140,2771,104,182,68,0,0,0,0,0,0,0,1,0,2,24,33
63200,55063,4.3,8,300,3840,103,178,72,1,0,0,0,0,0,1,1,0,1,18,23
20449,19261,3.2,6,193,3836,106,178,70,0,1,0,0,0,0,0,0,0,0,17,21
19825,18109,1.8,4,180,2934,99,168,68,0,0,0,0,0,0,0,1,0,2,24,31
26930,24498,3.9,6,193,4275,121,201,77,0,0,0,1,0,0,0,0,0,0,17,23
25645,23336,2.5,4,165,3395,104,184,69,0,0,0,0,0,1,0,0,1,2,21,28
29345,26660,3,6,212,3610,104,184,69,0,0,0,0,0,1,0,0,1,1,19,26
10760,10144,1.5,4,108,2035,93,163,65,0,0,0,0,0,0,0,1,0,2,35,43
27200,25179,1.3,,238,3029,106,174,,1,0,0,0,0,0,1,0,1,1,18,24
26000,23764,3.5,6,195,,110,196,73,0,0,0,0,0,0,0,0,1,0,17,25
14850,13904,2.2,4,140,2751,103,185,68,0,0,0,0,0,0,0,1,0,2,26,35
15495,14375,2.2,4,140,2771,104,182,68,0,0,0,0,0,0,0,1,0,2,24,33
33430,30366,3,6,220,3583,104,179,70,0,0,0,0,0,1,0,0,1,0,17,26
31370,28454,3.4,6,185,4431,121,201,72,0,0,0,1,0,1,0,0,0,1,18,24
22225,20394,3.5,6,200,3458,112,188,70,0,0,1,0,0,0,0,0,0,2,22,30
33840,30815,5.6,8,305,5013,123,207,79,0,1,0,0,0,0,0,0,0,0,13,19
35495,32525,3,6,225,3285,107,176,69,0,0,0,0,0,0,1,0,1,1,20,30
41995,39306,5.3,8,300,4760,116,191,79,0,0,0,0,1,0,1,0,0,0,16,19
39640,35992,3,6,220,3880,109,192,71,0,0,0,0,0,1,0,0,1,1,18,25
11839,11116,1.6,4,103,2290,96,167,66,0,0,0,0,0,0,0,0,1,2,29,33
25193,23285,1.8,4,142,2387,89,156,66,1,0,0,0,0,0,1,1,0,2,23,28
15580,14607,2,4,130,2691,103,168,67,0,0,0,0,0,0,0,0,0,2,26,33
21410,19801,3,6,182,3197,107,190,69,0,0,0,0,0,0,0,0,1,1,20,28
33500,30710,5.7,8,340,3725,110,190,73,1,0,0,0,0,0,1,1,0,,,
25395,23043,4.3,6,190,4083,123,205,68,0,0,0,0,1,1,0,0,0,0,15,19
30950,28613,2.7,6,200,3448,106,194,69,0,0,0,0,0,0,0,1,0,2,21,28
40565,38203,2.4,5,197,3450,105,186,72,0,0,0,0,0,0,0,1,0,2,21,28
69190,64740,4.2,8,330,4399,121,204,75,0,0,0,0,0,1,0,0,1,0,17,24
22000,20573,2.4,4,150,3105,103,169,67,0,0,0,0,0,0,0,0,1,2,22,29
22290,20457,3,6,155,3497,109,198,73,0,0,1,0,0,0,0,0,0,1,19,26
24225,22222,3.8,6,200,3434,111,198,73,0,0,0,0,0,0,0,1,0,1,18,28
40840,37060,3,6,220,4035,109,192,71,0,0,1,0,0,1,0,0,0,1,18,25
16530,14877,2.8,4,175,3351,111,207,69,0,0,0,0,1,0,1,0,0,1,19,24
39195,34576,3.3,6,230,4065,107,186,73,0,1,0,0,0,1,0,0,0,1,18,24
27995,25672,3.8,6,240,3606,111,200,73,0,0,0,0,0,0,0,0,1,1,18,28
13839,12781,2,4,138,2635,103,178,68,0,0,0,0,0,0,0,0,1,2,26,34
48170,44849,3.2,6,221,3635,112,190,71,0,0,0,0,0,0,1,0,1,1,19,27
81795,74451,8.3,10,500,3410,99,176,75,1,0,0,0,0,0,1,1,0,0,12,21
31230,28725,3.5,6,250,4675,116,199,79,0,0,1,0,0,0,1,0,0,0,17,23
32350,28755,3.3,6,225,3460,107,191,71,0,0,0,0,0,0,0,0,1,1,20,29
55750,48583,4.3,8,290,3990,115,197,72,0,0,0,0,0,0,1,0,1,1,18,25
33195,30299,3.2,6,270,3575,108,186,72,0,0,0,0,0,0,0,0,1,1,20,28
35145,33112,2.5,5,208,3823,109,186,73,0,0,1,0,0,1,0,0,0,1,20,27
45445,41650,4.6,8,275,3984,115,207,74,0,0,0,0,0,0,0,0,1,1,18,26
42845,38792,4.5,8,340,3851,110,197,70,0,0,0,0,0,0,1,0,1,0,17,23
27020,24518,3.4,6,185,3699,112,187,72,0,0,0,1,0,0,0,0,0,1,19,26
12800,11879,2.4,4,142,2750,103,184,67,0,0,0,0,1,0,1,0,0,2,22,27
27339,25972,3.5,6,240,3871,106,183,72,0,1,0,0,0,0,0,0,0,0,16,21
19560,17558,2.4,4,157,3086,107,189,71,0,0,0,0,0,0,0,0,1,2,24,33
33780,31466,2.6,6,168,3470,107,179,68,0,0,1,0,0,0,1,0,0,1,19,25
16040,14910,2.4,4,138,3281,106,186,72,0,0,0,0,0,0,0,0,1,2,23,30
10995,10319,2.2,4,140,2692,103,185,67,0,0,0,0,0,0,0,0,1,2,26,35
48450,42232,4.3,8,300,3715,110,189,71,0,0,0,0,0,0,1,0,1,1,18,23
11155,10705,1.6,4,104,2458,95,167,66,0,0,0,0,0,0,0,0,1,2,25,32
26060,24249,1.8,4,189,3250,107,178,68,0,0,0,0,0,0,1,1,0,2,22,30
30795,28245,2.5,6,184,3197,107,177,69,0,0,0,0,0,0,1,1,0,1,20,29
49995,45556,4.2,8,294,3874,115,192,72,0,0,0,0,0,0,1,0,1,1,18,28
44995,41170,3,6,225,3472,114,191,73,0,0,0,0,0,0,1,0,1,1,20,30
34495,32033,3.2,6,215,3060,95,160,70,1,0,0,0,0,0,1,1,0,0,17,25
79165,69229,3.6,6,315,3135,93,175,70,1,0,0,0,0,0,1,1,0,1,18,26
44295,40530,3,6,225,3616,107,177,69,0,0,0,0,0,0,1,1,0,1,19,28
23675,21485,3.4,6,170,3085,107,187,70,0,0,0,0,0,0,0,1,0,1,20,29
24589,22055,3.5,6,194,3651,108,192,72,0,0,0,0,0,0,0,0,1,0,17,26
23699,22307,2.7,6,185,3682,110,187,70,0,1,0,0,0,0,0,0,0,1,18,22
33360,31562,2,4,210,3175,105,183,69,0,0,0,0,0,0,0,0,1,1,20,28
14810,13884,2.2,4,140,2676,104,183,68,0,0,0,0,0,0,0,0,1,2,26,37
52365,45766,3.2,6,258,2911,95,170,70,1,0,0,0,0,0,1,1,0,1,18,26
36640,33129,3,6,220,3561,109,192,71,0,0,0,0,0,0,0,0,1,1,20,27
22515,20907,3,6,201,3346,103,173,70,0,1,0,0,0,1,0,0,0,1,18,23
46470,43268,5,8,288,4874,111,183,72,0,1,0,0,0,1,0,0,0,0,14,17
32445,29783,3.5,6,260,3677,112,187,69,0,0,0,0,0,1,0,0,1,1,18,26
12965,12340,1.5,4,108,2340,93,154,67,0,0,0,0,0,0,0,0,1,2,32,38
20445,18713,2.5,4,165,3285,104,184,69,0,0,0,0,0,1,0,0,1,2,21,28
42565,40083,2.3,5,242,3450,105,186,72,0,0,0,0,0,0,0,1,0,1,20,26
17045,15973,1.8,4,130,2701,102,172,70,0,0,1,0,0,0,1,0,0,2,29,36
30315,27756,4.6,8,239,4057,115,212,78,0,0,0,0,0,0,1,0,1,0,17,25
19945,18399,2.5,4,165,2965,99,174,69,0,0,0,0,0,1,0,0,1,2,22,28
19999,18137,1.6,4,163,2678,97,144,67,0,0,0,0,0,0,0,1,0,2,25,34
15460,14496,2,4,130,2606,103,168,67,0,0,0,0,0,0,0,0,1,2,26,33
20615,19400,3.5,6,195,4802,115,194,75,0,0,0,1,0,0,0,0,0,0,16,22
